"ROLENAME","BUILD_TYPE","ORACLE_PROVIDED","NOTES"
"LOGSTDBY_ADMINISTRATOR","sys","Y","A prototype role created by default with the RESOURCE role."
"MAINTPLAN_APP","sys","Y","A maintenance plan can be queried in a PDB via the DB_NOTIFICATIONS view by a user that has the MAINTPLAN_APP system privilege."
"MGMT_USER","sys","Y","(grbemdc) Enterprise Manager Database Control"
"OEM_ADVISOR","sys","Y","(grbemdc) Provides privileges to create, drop, select (read), load (write), and delete a SQL tuning set through the DBMS_SQLTUNE PL/SQL package, and to access to the Advisor framework using the ADVISOR PL/SQL package."
"OEM_MONITOR","sys","Y","(grbemdc) Provides privileges needed by the Management Agent component of Oracle Enterprise Manager to monitor and manage a database."
"OLAP_DBA","sys","Y","(grbolap) Provides privileges needed by the Management Agent component of Oracle Enterprise Manager to monitor and manage the database."
"OLAP_USER","sys","Y","(grbolap) Provides application developers privileges to create dimensional objects in their own schemas for Oracle OLAP."
"OLAP_XS_ADMIN","sys","Y","(grbolap) Administer OLAP data security. Granted the XS_RESOURCE role."
"OPTIMIZER_PROCESSING_RATE","sys","Y","Provides privileges to execute the GATHER_PROCESSING_RATE, SET_PROCESSING_RATE, and DELETE_PROCESSING_RATE procedures in the DBMS_STATS package. These procedures manage the processing rate of a system for automatic degree of parallelism (Auto DOP). Auto DOP uses these processing rates to determine the optimal degree of parallelism for a SQL statement."
"ORDS_ADMINISTRATOR_ROLE","sys","Y","(grbapex) APEX/REST/ORDS Role"
"ORDS_RUNTIME_ROLE","sys","Y","(grbapex) APEX/REST/ORDS Role"
"PDB_DBA","sys","Y","Granted automatically to the local user that is created when you create a new pluggable database (PDB) from the seed PDB. No privileges are provided with this role."
"PLUSTRACE","sys","Y","Grants privlileges on V$ views required to use AUTOTRACE. Can be created in a PDB but not in the CDB."
"PPLB_ROLE","sys","Y",
"PROVISIONER","sys","Y","Provides privileges to register and update global callbacks for Oracle Database Real Application sessions and to provision principals."
"RDFCTX_ADMIN","sys","Y","Privileges required to add a new extractor type in the schema RDFCTXU for Oracle Database Semantic Technologies."
"RECOVERY_CATALOG_OWNER","sys","Y","Must be granted to the recovery catalog owner for RMAN."
"RECOVERY_CATALOG_OWNER_VPD","sys","Y",
"RECOVERY_CATALOG_USER","sys","Y","Prerequisite for Adding Data Collectors (Oracle Recovery Manager - RMAN)"
"RESOURCE","sys","Y","Provides the following system privileges: CREATE CLUSTER, CREATE INDEXTYPE, CREATE OPERATOR, CREATE PROCEDURE, CREATE SEQUENCE, CREATE TABLE, CREATE TRIGGER, CREATE TYPE. This role is provided for compatibility with previous releases of Oracle Database. You can determine the privileges encompassed by this role by querying the DBA_SYS_PRIVS data dictionary view."
"SCHEDULER_ADMIN","sys","Y","Allows the grantee to execute the procedures of the DBMS_SCHEDULER package. It includes all of the job scheduler system privileges and is included in the DBA role."
"SELECT_CATALOG_ROLE","sys","Y","Provides SELECT privilege on objects in the data dictionary. Granted the HS_ADMIN_SELECT_ROLE role."
"SODA_APP","sys","Y","Simple Oracle Document Access (SODA) permissions in PL/SQL for a SODA User."
"SPATIAL_CSW_ADMIN","sys","Y","(grbsdo) Provides administrative privileges to manage the Catalog Services for the Web (CSW) component of Oracle Spatial."
"SPATIAL_WFS_ADMIN","sys","Y","(grbsdo) Provides administrative privileges to manage the Web Feature Service (WFS) component of Oracle Spatial."
"SYSUMF_ROLE","sys","Y","Permission needed for Universal Message Format, UMF, which provides an interface for deploying Remote Management Framework (RMF) topology"
"WFS_USR_ROLE","sys","Y","(grbsdo) Provides user privileges for the Web Feature Service (WFS) component of Oracle Spatial."
"WM_ADMIN_ROLE","sys","Y","(grbowm) Contains all Workspace Manager privileges with the grant option. By default, the database administrator (DBA role) is granted the WM_ADMIN_ROLE role."
"XDBADMIN","sys","Y","(grbxrep) Allows the grantee to register an XML schema globally, as opposed to registering it for use or access only by its owner. It also lets the grantee bypass access control list (ACL) checks when accessing Oracle XML DB Repository."
"XDB_SET_INVOKER","sys","Y","(grbxrep) Allows the grantee to define invoker's rights handlers and to create or update the resource configuration for XML repository triggers. By default, Oracle Database grants this role to the DBA role but not to the XDBADMIN role."
"XDB_WEBSERVICES","sys","Y","(grbxrep) Allows the grantee to access Oracle Database Web services over HTTPS. However, it does not provide the user access to objects in the database that are public. To allow public access, you need to grant the user the XDB_WEBSERVICES_WITH_PUBLIC role. For a user to use these Web services, SYS must enable the Web service servlets."
"XDB_WEBSERVICES_OVER_HTTP","sys","Y","(grbxrep) Allows the grantee to access Oracle Database Web services over HTTP. However, it does not provide the user access to objects in the database that are public. To allow public access, you need to grant the user the XDB_WEBSERVICES_WITH_PUBLIC role."
"XDB_WEBSERVICES_WITH_PUBLIC","sys","Y","(grbxrep) Allows the grantee access to public objects through Oracle Database Web services."
"XS_CACHE_ADMIN","sys","Y","(grbras) The mid-tier cache. It is required for caching the security policy at the mid-tier level for the checkAcl (authorization) method of the XSAccessController class. Grant this role to the application connection user or the Real Application Security dispatcher."
"XS_CONNECT","sys","Y","(grbras) "
"XS_NAMESPACE_ADMIN","sys","Y","(grbras) In Oracle Database Real Application Security, enables the grantee to manage and manipulate the namespace and attribute for a session. Grant this role to the Real Application Security session user."
"XS_RESOURCE","sys","Y","(grbras) "
"XS_SESSION_ADMIN","sys","Y","(grbras) In Oracle Database Real Application Security, enables the grantee to manage the life cycle of a session, including the ability to create, attach, detach, and destroy the session. Grant this role to the application connection user or Real Application Security dispatcher."
